Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
Ode Osbourne,Flyweight,13-8-0,5' 7\,,73\,Southpaw,1/9/1992 (33),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottman Azaitar,Lightweight,13-3-0,5' 8\,,71\,Switch,2/20/1990 (35),Jupps Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oumar Sy,Light Heavyweight,11-1-0,6' 4\,,83\,Orthodox,11/21/1995 (29),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozzy Diaz,Middleweight,10-3-0,6' 4\,,79\,Orthodox,11/22/1990 (34),California Mixed Martial Marts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paddy Pimblett,Lightweight,23-3-0,5' 10\,,73\,Orthodox,1/3/1995 (30),Next Generation MMA Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Sabatini,Featherweight,20-5-0,5' 8\,,70\,Orthodox,11/9/1990 (34),Marquez MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchy Mix,Bantamweight,20-2-0,5' 11\,,71.5\,Switch,8/16/1993 (31),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Craig,Light Heavyweight,17-9-1,6' 3\,,76\,Orthodox,11/27/1987 (37),Higher Level Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Costa,Middleweight,15-4-0,6' 1\,,72\,Orthodox,4/21/1991 (34),Team Borracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payton Talbott,Bantamweight,10-1-0,5' 10\,,70.5\,Switch,9/9/1998 (26),Reno Academy of Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Munhoz,Bantamweight,20-10-0,5' 6\,,65\,Orthodox,9/7/1986 (38),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Rodriguez,Welterweight,5-2-0,5' 9\,,71\,Switch,11/13/1996 (28),Dominate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Yan,Bantamweight,19-5-0,5' 7\,,67\,Switch,2/11/1993 (32),BK Arkhangel Mikhail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Rowe,Welterweight,11-5-0,6' 3\,,80.5\,Orthodox,7/18/1990 (35),Fusion X-Cel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piera Rodriguez,Women's Strawweight,10-2-0,5' 3\,,63.5\,Orthodox,11/11/1992 (32),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyana Viana,Women's Strawweight,13-8-0,5' 5\,,67\,Orthodox,6/14/1992 (33),Chute Boxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston Parsons,Welterweight,11-6-0,5' 11\,,71\,Orthodox,7/15/1995 (30),Gracie Barra South Jax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priscila Cachoeira,Women's Bantamweight,13-6-0,5' 7\,,65\,Orthodox,8/19/1988 (36),MMA Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puja Tomar,Women's Strawweight,9-5-0,5' 4\,,59\,Southpaw,12/5/1993 (31),Soma Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punahele Soriano,Welterweight,11-4-0,5' 11\,,72.5\,Southpaw,11/22/1992 (32),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quang Le,Bantamweight,9-2-0,5' 6\,,70\,Orthodox,10/18/1991 (33),The Academy MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quillan Salkilld,Lightweight,9-1-0,6' 0\,,75\,Orthodox,12/28/1999 (25),Luistro Combat Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radley Da Silva,Featherweight,7-1-0,5' 10\,,,,6/20/1995 (30),Axe Capoeira Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafa Garcia,Lightweight,17-4-0,5' 7\,,70\,Orthodox,8/5/1994 (30),UFC Gym Costa Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Cerqueira,Light Heavyweight,11-2-0,6' 3\,,76\,Southpaw,3/15/1991 (34),Galpao Da Luta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Dos Anjos,Welterweight,32-17-0,5' 8\,,70\,Southpaw,10/26/1984 (40),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Estevam,Flyweight,13-0-0,5' 8\,,69\,Orthodox,8/10/1996 (28),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fiziev,Lightweight,13-4-0,5' 8\,,71\,Switch,3/5/1993 (32),Tiger Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramazan Temirov,Flyweight,19-3-0,5' 4\,,63\,Orthodox,1/31/1997 (28),Muradov Legion Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramiro Jimenez,Featherweight,10-0-0,5' 8\,,,,1/16/1999 (26),The Goat Shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramiz Brahimaj,Welterweight,12-5-0,5' 10\,,72\,Orthodox,11/17/1992 (32),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Taveras,Bantamweight,10-3-0,5' 8\,,70\,Southpaw,1/9/1994 (31),Bulldog Boxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Brown,Welterweight,20-6-0,6' 3\,,78\,Orthodox,7/8/1990 (35),Budokan Martial Arts Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani Yahya,Bantamweight,28-12-1,5' 6\,,67\,Orthodox,9/12/1984 (40),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoni Barcelos,Bantamweight,20-5-0,5' 7\,,67\,Orthodox,5/1/1987 (38),Top Brother MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raquel Pennington,Women's Bantamweight,16-10-0,5' 7\,,67.5\,Orthodox,9/5/1988 (36),Altitude MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravena Oliveira,Women's Bantamweight,7-2-1,5' 5\,,65\,Orthodox,2/20/1997 (28),Life MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rei Tsuruya,Flyweight,10-1-0,5' 6\,,68\,Orthodox,6/22/2002 (23),Paraestra Matsudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ren Yawei,Lightweight,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Lightweight,20-7-1,5' 11\,,72\,Orthodox,5/21/1989 (36),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Ramos,Featherweight,17-7-0,5' 9\,,72\,Orthodox,8/1/1995 (29),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Simon,Bantamweight,22-6-0,5' 6\,,69\,Orthodox,8/31/1992 (32),American Top Team Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Turcios,Bantamweight,13-5-0,5' 9\,,71\,Orthodox,6/5/1993 (32),Gracie Barra Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinat Fakhretdinov,Welterweight,23-1-1,6' 0\,,74\,Orthodox,9/28/1991 (33),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinya Nakamura,Bantamweight,9-1-0,5' 7\,,68.5\,Southpaw,3/23/1995 (30),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Tirto,Flyweight,0-0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rizvan Kuniev,Heavyweight,12-3-1,6' 4\,,76\,Orthodox,3/10/1992 (33),Gorets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Font,Bantamweight,22-8-0,5' 8\,,71.5\,Orthodox,6/25/1987 (38),TriStar Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bryczek,Middleweight,17-6-0,6' 0\,,75\,Orthodox,7/4/1990 (35),Veto Team Bielsko-Biała,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Ruchala,Featherweight,11-1-0,5' 10\,,72.5\,,5/15/1998 (27),Grappling Krakow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Valentin,Middleweight,11-6-0,6' 2\,,77\,Orthodox,3/31/1995 (30),Fight Move Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Whittaker,Middleweight,27-9-0,6' 0\,,73.5\,Orthodox,12/20/1990 (34),Gracie Jiu-Jitsu Smeaton Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Romero,Featherweight,8-5-1,5' 8\,,70\,Orthodox,1/30/2000 (25),Team Oyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Bellato,Light Heavyweight,12-2-1,6' 3\,,77\,Orthodox,2/5/1996 (29),Team Nogueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Vieira,Middleweight,10-3-0,6' 0\,,73\,Orthodox,9/25/1989 (35),Fighting Nerds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando Bedoya,Lightweight,14-4-0,5' 11\,,74\,Orthodox,1/13/1997 (28),Chute Boxe - Diego Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,Middleweight,15-3-0,6' 2\,,76\,Orthodox,7/15/1988 (37),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Kopylov,Middleweight,14-4-0,6' 0\,,75\,Southpaw,5/4/1991 (34),Raty Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Rodriguez,Flyweight,17-3-0,5' 6\,,65.5\,Orthodox,5/7/1999 (26),ADAM Coatzacoalcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Namajunas,Women's Flyweight,15-7-0,5' 5\,,65\,Orthodox,6/29/1992 (33),Genesis Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Gandra,Middleweight,7-1-0,6' 1\,,,,5/8/1995 (30),Flavio Baiano Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hall,Featherweight,9-2-0,5' 10\,,70.5\,Southpaw,2/22/1985 (40),Fifty/50 Martial Arts Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Loder,Middleweight,8-2-0,6' 2\,,76.5\,Southpaw,6/5/1991 (34),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Spann,Heavyweight,23-11-0,6' 5\,,79\,Orthodox,8/24/1991 (33),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Said Nurmagomedov,Bantamweight,18-5-0,5' 8\,,70\,Orthodox,4/5/1992 (33),Fight Club Akhmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saimon Oliveira,Bantamweight,18-6-0,5' 4\,,72\,Orthodox,4/21/1991 (34),Astra Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Hughes,Women's Strawweight,10-6-0,5' 5\,,64\,Orthodox,6/28/1992 (33),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Patterson,Welterweight,13-2-1,6' 3\,,78\,Orthodox,4/30/1996 (29),Team Crossface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Ponzinibbio,Welterweight,31-9-0,6' 0\,,73\,Orthodox,9/26/1986 (38),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Brady,Welterweight,18-1-0,5' 10\,,72\,Orthodox,11/23/1992 (32),Renzo Gracie Philly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Sharaf,Heavyweight,4-1-0,6' 3\,,77\,Orthodox,7/11/1993 (32),RVCA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Strickland,Middleweight,29-7-0,6' 1\,,76\,Orthodox,2/27/1991 (34),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Woodson,Featherweight,13-2-1,6' 2\,,78\,Orthodox,6/7/1992 (33),Wolves Den Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Szalay,Featherweight,8-1-0,5' 7\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedriques Dumas,Middleweight,10-3-0,6' 2\,,79\,Orthodox,8/6/1995 (29),Team Remedy BJJ & MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seokhyeon Ko,Welterweight,12-2-0,5' 10\,,71\,Southpaw,9/24/1993 (31),Team Stun Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergei Pavlovich,Heavyweight,19-3-0,6' 3\,,84\,Southpaw,5/13/1992 (33),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serghei Spivac,Heavyweight,17-6-0,6' 3\,,78\,Orthodox,1/24/1995 (30),Polar Bear Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serhiy Sidey,Bantamweight,12-2-0,5' 11\,,72\,Switch,7/4/1996 (29),Burlington Training Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamil Gaziev,Heavyweight,14-1-0,6' 4\,,78.5\,Orthodox,2/10/1990 (35),KHK MMA Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shara Magomedov,Middleweight,16-1-0,6' 2\,,73\,Orthodox,5/16/1994 (31),GOR MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shauna Bannon,Women's Strawweight,7-1-0,5' 5\,,65\,Switch,10/23/1993 (31),Holohan Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shavkat Rakhmonov,Welterweight,19-0-0,6' 1\,,77\,Orthodox,10/23/1994 (30),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shayilan Nuerdanbieke,Featherweight,39-12-0,5' 8\,,69\,Orthodox,5/4/1994 (31),China Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Westcott,Welterweight,10-3-1,,,71\,Southpaw,8/20/1984,Complete Martial Arts and Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shi Ming,Women's Strawweight,17-5-0,5' 2\,,60\,Orthodox,11/14/1994 (30),China Catch Wrestling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodiq Yusuff,Lightweight,13-5-0,5' 9\,,71\,Orthodox,5/19/1993 (32),Team Lloyd Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Kenan,Welterweight,22-9-0,6' 0\,,71.5\,Orthodox,3/10/1990 (35),Beijing Black Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Yadong,Bantamweight,22-8-1,5' 8\,,67\,Orthodox,12/2/1997 (27),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Luciano,Women's Strawweight,6-2-1,5' 6\,,65\,Orthodox,12/16/1999 (25),Gordinho Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Thompson,Welterweight,17-9-1,6' 0\,,75\,Orthodox,2/11/1983 (42),Team Upstate Karate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Erceg,Bantamweight,12-4-0,5' 8\,,68\,Orthodox,7/27/1995 (30),Wilkes Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Garcia,Featherweight,18-5-0,6' 0\,,75\,Southpaw,5/22/1992 (33),Jackson-Wink MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Koslow,Bantamweight,6-1-0,5' 7\,,69\,Switch,1/22/1997 (28),10th Planet Jiu Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Nguyen,Featherweight,10-2-0,5' 11\,,73\,Switch,5/19/1993 (32),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewart Nicoll,Flyweight,8-1-0,5' 5\,,65.5\,Orthodox,11/4/1994 (30),Broz Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabatha Ricci,Women's Strawweight,12-3-0,5' 1\,,61\,Orthodox,2/21/1995 (30),Paragon BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagir Ulanbekov,Flyweight,17-2-0,5' 7\,,70\,Southpaw,8/7/1991 (33),Eagles MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Tuivasa,Heavyweight,15-8-0,6' 2\,,75\,Southpaw,3/16/1993 (32),Lions High Performance Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tainara Lisboa,Women's Bantamweight,7-3-0,5' 7\,,67\,Orthodox,3/2/1991 (34),Damas 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talita Alencar,Women's Strawweight,6-1-1,5' 1\,,58\,Orthodox,10/17/1990 (34),Fight Sports Deerfield Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallison Teixeira,Heavyweight,8-1-0,6' 7\,,83\,Orthodox,12/7/1999 (25),Team Lucas Mineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiana Suarez,Women's Strawweight,11-1-0,5' 5\,,66\,Southpaw,12/19/1990 (34),Millennia MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsuro Taira,Flyweight,16-1-0,5' 7\,,70\,Orthodox,1/27/2000 (25),The Blackbelt Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecia Pennington,Women's Strawweight,15-7-0,5' 1\,,60.5\,Orthodox,8/16/1989 (35),Pound 4 Pound Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tereza Bleda,Women's Flyweight,7-1-0,5' 9\,,71\,Orthodox,11/30/2001 (23),Reinders MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Themba Gorimbo,Welterweight,14-5-0,6' 1\,,77\,Orthodox,1/23/1991 (34),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Moises,Lightweight,19-9-0,5' 9\,,70.5\,Orthodox,3/23/1995 (30),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Petersen,Heavyweight,10-3-0,6' 1\,,74\,Southpaw,3/30/1995 (30),Spartan MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti Haitao,Bantamweight,0-3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Elliott,Flyweight,21-13-1,5' 7\,,66\,Southpaw,12/24/1986 (38),GrindHouse MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Means,Welterweight,33-17-1,6' 2\,,75\,Orthodox,2/20/1984 (41),Fit NHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timmy Cuamba,Featherweight,9-3-0,5' 9\,,71\,Orthodox,2/8/1999 (26),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tofiq Musayev,Lightweight,22-6-0,5' 10\,,72\,,12/15/1989 (35),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Aspinall,Heavyweight,15-3-0,6' 5\,,78\,Orthodox,4/11/1993 (32),Team Kaobon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Nolan,Lightweight,9-1-0,6' 3\,,73\,Southpaw,3/8/2000 (25),Team Compton Training Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Cuozzi,Featherweight,8-0-0,,,,,8/31/1999 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrez Finney,Middleweight,11-0-0,5' 8\,,75\,Orthodox,10/24/1998 (26),Agoge Combatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiomi Kazama,Bantamweight,11-4-0,5' 7\,,69\,Orthodox,5/15/1997 (28),Wajutsu Keishukai Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Cortez,Women's Flyweight,12-2-0,5' 5\,,65.5\,Orthodox,12/10/1993 (31),Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tresean Gore,Middleweight,6-3-0,6' 0\,,75\,Switch,6/21/1994 (31),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Peek,Lightweight,9-3-0,5' 9\,,70\,Switch,1/9/1995 (30),Agoge Combatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Ogden,Lightweight,18-7-0,5' 11\,,72\,Orthodox,11/14/1989 (35),Marathon MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Waters,Welterweight,9-1-0,6' 5\,,77\,Orthodox,2/21/1995 (30),Elevate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuco Tokkos,Light Heavyweight,11-5-0,6' 4\,,76\,Orthodox,6/30/1990 (35),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Miller,Welterweight,5-0-0,6' 2\,,,,6/4/2000 (25),Fit NHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Nurmagomedov,Bantamweight,18-1-0,5' 8\,,69\,Orthodox,1/3/1996 (29),AKA (American Kickboxing Academy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uran Satybaldiev,Light Heavyweight,9-1-0,6' 4\,,79\,Orthodox,8/10/1994 (30),Uluu Kyrgyz Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uros Medic,Welterweight,10-3-0,6' 1\,,71\,Southpaw,4/25/1993 (32),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vagner Rocha,Lightweight,13-4-0,,,73\,Orthodox,6/6/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentina Shevchenko,Women's Flyweight,25-4-1,5' 5\,,66.5\,Southpaw,3/7/1988 (37),Tiger Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valter Walker,Heavyweight,14-1-0,6' 6\,,78.5\,Orthodox,12/14/1997 (27),GOR MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Demopoulos,Women's Flyweight,11-8-0,5' 2\,,59\,Orthodox,9/22/1988 (36),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Hardy,Women's Flyweight,9-5-1,5' 4\,,64\,Southpaw,10/30/1995 (29),Team Rough House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viacheslav Borshchev,Lightweight,8-6-1,5' 11\,,69\,Orthodox,1/8/1992 (33),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Luque,Welterweight,23-11-1,5' 11\,,75.5\,Orthodox,11/27/1991 (33),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Henry,Bantamweight,25-7-0,5' 7\,,68\,Switch,5/4/1987 (38),UWF-USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Morales,Bantamweight,16-10-0,5' 7\,,70\,Orthodox,11/12/1990 (34),Syndicate MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Oliveira,Bantamweight,23-3-0,5' 9\,,70.5\,Switch,11/30/1995 (29),Sombra Team MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virna Jandiroba,Women's Strawweight,22-3-0,5' 3\,,64\,Orthodox,5/30/1988 (37),Academia Fight House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Costa,Middleweight,8-1-0,6' 2\,,,,9/19/2000 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Petrino,Heavyweight,12-2-0,6' 2\,,77.5\,Orthodox,8/28/1997 (27),CM System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkan Oezdemir,Light Heavyweight,20-8-0,6' 2\,,75\,Orthodox,9/19/1989 (35),Allstars Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Cong,Women's Flyweight,8-1-0,5' 6\,,66.5\,Southpaw,5/15/1992 (33),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington Turman,Middleweight,18-8-0,6' 0\,,72\,Orthodox,7/22/1996 (29),Teixeira MMA & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westin Wilson,Featherweight,17-9-0,6' 1\,,73\,Southpaw,1/24/1989 (36),Team Upstate Karate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Gomis,Featherweight,14-3-0,6' 0\,,73\,Southpaw,6/13/1997 (28),MMA Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Long,Bantamweight,0-0-0,,,,,2/25/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yair Rodriguez,Featherweight,21-5-0,5' 11\,,71\,Orthodox,10/6/1992 (32),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
